,word1,word2,val
0,시작,갓생,67052
1,오늘,갓생,56649
2,블로그,갓생,51531
3,카페,갓생,50676
4,공부,갓생,47424
5,행복,갓생,46702
6,운동,갓생,41235
7,점심,갓생,38746
8,인생,갓생,36101
9,오늘,시작,35957
10,학교,갓생,35793
11,시작,블로그,33876
12,커피,갓생,33477
13,카페,시작,32158
14,행복,시작,30994
15,선물,갓생,30232
16,시작,공부,30138
17,노래,갓생,30010
18,느낌,갓생,29957
19,일상,갓생,29245
20,책,갓생,28694
21,수업,갓생,27687
22,오늘,블로그,27430
23,운동,시작,27429
24,도착,갓생,27259
25,주말,갓생,27159
26,이유,갓생,27115
27,출근,갓생,26725
28,카페,오늘,26650
29,행복,카페,26464
30,맛집,갓생,26460
31,퇴근,갓생,26112
32,점심,시작,25812
33,새벽,갓생,25718
34,카페,블로그,25570
35,오늘,공부,25420
36,커피,카페,25383
37,행복,오늘,25232
38,주일,갓생,24617
39,점심,오늘,24456
40,시험,갓생,24455
41,행복,블로그,24380
42,카페,점심,24161
43,인생,시작,23677
44,블로그,공부,23653
45,성공,갓생,23574
46,기대,갓생,23342
47,학교,시작,23306
48,운동,오늘,23126
49,일기,갓생,23119
50,여행,갓생,22897
51,카페,공부,22492
52,필요,갓생,22268
53,내일,갓생,21788
54,학교,공부,21545
55,커피,시작,21466
56,서울,갓생,21368
57,약속,갓생,21289
58,버스,갓생,21255
59,여름,갓생,21139
60,시험,공부,20956
61,진심,갓생,20913
62,시작,느낌,20908
63,마무리,갓생,20876
64,지금,갓생,20860
65,영화,갓생,20714
66,계획,갓생,20682
67,행복,공부,20644
68,회사,갓생,20603
69,정리,갓생,20463
70,시작,노래,20029
71,시작,선물,20026
72,학교,블로그,19962
73,메뉴,갓생,19878
74,학교,오늘,19691
75,책,시작,19649
76,시작,도착,19626
77,행복,점심,19618
78,인스타,갓생,19581
79,일상,시작,19496
80,눈물,갓생,19388
81,카페,맛집,19384
82,행복,인생,19360
83,피곤,갓생,19221
84,학교,카페,19206
85,시작,수업,19187
86,발견,갓생,19167
87,카페,운동,19157
88,카페,인생,19152
89,이유,시작,19052
90,카페,선물,18935
91,행복,학교,18756
92,상태,갓생,18735
93,커피,오늘,18665
94,학교,수업,18634
95,만족,갓생,18633
96,점심,블로그,18632
97,갓생,가족,18631
98,인생,블로그,18614
99,인생,오늘,18610
100,주문,갓생,18384
